Error;Operacao;Nome;Data;Hora;usuario
;Mensagem com id: (5) maracada como lida?: true;Tiler;20/JULY/2023;16:51:59;Tiler
;Mensagem com id: (7) maracada como lida?: false;Sigismund;20/JULY/2023;16:52:16;Sigismund
;Mensagem com id: (5) maracada como lida?: false;Tiler;20/JULY/2023;16:52:17;Tiler
;Mensagem com id: (7) maracada como lida?: true;Sigismund;20/JULY/2023;16:52:18;Sigismund
;Mensagem com id: (5) maracada como lida?: true;Tiler;20/JULY/2023;16:52:18;Tiler
;Mensagem com id: (7) maracada como lida?: false;Sigismund;20/JULY/2023;17:20:9;Sigismund
;Mensagem com id: (5) maracada como lida?: false;Tiler;20/JULY/2023;17:20:11;Tiler
;Mensagem com id: (7) maracada como lida?: true;Sigismund;20/JULY/2023;17:21:36;Sigismund
;Mensagem com id: (5) maracada como lida?: true;Tiler;20/JULY/2023;17:21:36;Tiler
;Mensagem com id: (7) maracada como lida?: true;Sigismund;20/JULY/2023;18:11:58;Sigismund
;Isercao de usuario;javax.swing.JTextField[,133,64,143x20,layout=javax.swing.plaf.basic.BasicTextUI$UpdateHandler,alignmentX=0.0,alignmentY=0.0,border=javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@d959413,flags=296,maximumSize=,minimumSize=,preferredSize=,caretColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],disabledTextColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],editable=true,margin=javax.swing.plaf.InsetsUIResource[top=0,left=0,bottom=0,right=0],selectedTextColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],selectionColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],columns=0,columnWidth=0,command=,horizontalAlignment=LEADING];20/JULY/2023;18:48:29;null
;Isercao de usuario;javax.swing.JTextField[,133,64,143x20,layout=javax.swing.plaf.basic.BasicTextUI$UpdateHandler,alignmentX=0.0,alignmentY=0.0,border=javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@d959413,flags=296,maximumSize=,minimumSize=,preferredSize=,caretColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],disabledTextColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],editable=true,margin=javax.swing.plaf.InsetsUIResource[top=0,left=0,bottom=0,right=0],selectedTextColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],selectionColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],columns=0,columnWidth=0,command=,horizontalAlignment=LEADING];20/JULY/2023;18:48:33;null
;Isercao de usuario;javax.swing.JTextField[,133,64,143x20,layout=javax.swing.plaf.basic.BasicTextUI$UpdateHandler,alignmentX=0.0,alignmentY=0.0,border=javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@d959413,flags=296,maximumSize=,minimumSize=,preferredSize=,caretColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],disabledTextColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],editable=true,margin=javax.swing.plaf.InsetsUIResource[top=0,left=0,bottom=0,right=0],selectedTextColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],selectionColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],columns=0,columnWidth=0,command=,horizontalAlignment=LEADING];20/JULY/2023;18:49:1;null
